unique_id,citation_context,citation_class_label,predicted_classes
9966271229c9020e56082c6f98bcd3f6f07c8f07>7eff550d7d9df8f7f8533886070727544dd8a458_0,"…measured immediately after each walking task. fNIRS measurement The details of the fNIRS system (OMM-2001; Shimadzu, Kyoto, Japan), which used continuous-wave laser diodes with three wavelengths of near-infrared light (780, 805, and 830 nm), are described elsewhere @@CITATION@@3).",method,method
812e50bdbc19a822b0619ea835bed77415782d4b>5f19115ea3ee17d6d2a9288412fc6165932cea91_0,"…Ranomafana National Park in 1992–1993 and Vohibola III in 2003–2005, research on temporal and geographic variations in fruit availability led us to question the unimodal relationship to activity patterns of Cheirogaleus major (Ganzhorn et al., 1999; Hemingway, 1998@@CITATION@@02; Overdorff, 1991).",background,method
69116757e90b4cac5af3793c7e29e93cfd7eac55>68705f4785910ee33f7dca77b0ab256406826f98_1,"…and valid across a number of studies (Evins and Theofrastous 1997), displays good sensitivity and specificity (Eberhard-Gran et al. 2001; Evins and Theofrastous 1997), is sensitive to changes over time (Cox et al. 1987) and is acceptable to administer over the phone (@@CITATION@@).",method,method
092f1087ab85d0c0a4e20d9e69e792359b6fca1f>c753c71eac3440c1be97ffdc8de0bd8ef6dcd9c7_0,"NSE levels are notably higher in extensive than limited stage disease (Carney et al., 1982; Johnson et al., 1984; Akoun et al., 1985; Cooper et al., 1985; @@CITATION@@ ), and our results confirm this.",result,result
dc65e25d4e6ee313c15f17ff0657628afc17da7d>5917e6f584ca2c937b305f12ca6cea1ba6015d82_2,Lactate is thought to instantaneously replenish neuronal energy needs by generating NADH (@@CITATION@@).,background,background
e2462948c685ebdcfe56bc7d0d160ffb7a0e17dc>25373e779ab0a79a58d74cbf6111fcbd33e6e935_0,ERalpha is the predominant estrogen receptor in the VMH and is found in neurons throughout the rostrocaudal extent of this brain region @@CITATION@@.,background,background
b6c83898d88378ce0fddedba00f72ded67e946f4>0bf7cde487dad25a8008a0c8629e5ca371df3c3c_13,"In the present study we could confirm that r>0.68 could be calculated for CKM and @@CITATION@@ in relation to MFI10 d, while MFI48 h showed less significant results (r≈0.45, in both cases).",result,result
87a4d768e520169fc702ba2b3b0e1108ebbf92a9>None_0,Our results are consistent with tt-farnesol concentrations required to inhibit the growth of other fungi @@CITATION@@.,result,result
6cbd291523ad870ca223d02dbdc08a3cacf2b517>077cf67ea0492247b46b81fb04842daa5b799b18_3,This result is in line with previous reports showing an incidence of RSE ranging from 24 to 40% of all SE cases @@CITATION@@.,result,result
e2e0e45d0dd5e60d00bfa32d7ebc75b394b660f5>5fb960612d807f6342e76bb6103ac98c77f6caa9_0,"…allopathic effects of root exudates due to its high capacity to absorb organic compounds, which could thus alleviate the negative effects of allelochemicals and differentiate between their effect and that of resource depletion by neighbours (Callaway and Aschehoug 2000; @@CITATION@@).",method,background
