unique_id,citation_context,citation_class_label,predicted_classes
8e8e19bf6e9d7bcf921e91f369a140da2e86bfa3>None_0,"Therefore, we can compare our findings only with the data obtained by @@CITATION@@ who obtained them in a way similar to the present study.",result,method
76dbde75cf679eb89b84d5e4a65e714d998e7ebe>dbe62ea638e3ac987fefa60691fcc1d036999668_2,"In order to compare our method with @@CITATION@@, the results of both methods were assessed by a cardiologist on DS1 and DS2 datasets.",method,method
ed097a708b9fea355ce7ff8249e9a120ba55795a>689826f096e33d8ad004ff7602c5ad414082f403_0,"Methods such as SBDS @@CITATION@@ avoid this problem but adding constraints to a model does not, so measuring the search effort to find a solution would not be a meaningful way of evaluating the new encoding.",method,method
f8162b8bead8366a8611fca9f1ee0c1fd973cc68>184e68cc4325f4f17bd690161b456d895f94cb05_0,"NiV C has been proposed previously to have interferon antagonist activity @@CITATION@@, although the other study showed the lack of an inhibitory effect of NiV C on IFN signaling in infected cells (63).",background,result
e5c60fb421a14d14f8b54def923ef8116b21e367>13d5774a6af3126dd533fd0db7dce5e309787bf1_0,"In cases where clinically genotyped HLA haplotyping calls were not available, we used in silico HLA typing by HLAminer (version 1) @@CITATION@@ or by Athlates [25].",method,method
dcb0c3f9f8a7317524ae314e29d1f7a54a14bdad>e4fd8f2adf10b9b7b44abffc1d5a4a31125749e3_0,Implementations The PRISM algorithm has already been implemented in the Weka software package @@CITATION@@ which is used in the experiments.,method,method
ba51afb469783d90f7b90a4a0840fded459c6d89>a15390c697fe38d4e6aa64127b7082027b732072_9,"For comparison, we performed the same analysis using pathways extracted from the human metabolic model of the @@CITATION@@ database (see Additional file 1: Table S1).",method,result
b973c738888166c52d32931362f8a50e7eae47b6>a06a5e49ecd12418dd5ac6330e32bfa851e0f2db_0,"These results contrast with previous studies, which have found superior learning from interleaved study (@@CITATION@@; Kornell & Bjork, 2008; Rohrer & Taylor, 2007; Taylor & Rohrer, 2010; Wahlheim et al., 2011).",result,result
da306abdd85b0a23a1d80e36d2766dc7c68e4c12>c42ae75a92ad1b7b982c1593687f4c6fa914fff0_0,"@@CITATION@@ presented an approach for estimating the task-difficulty explicitly, which allows defining heuristic intrinsic reward functions based on which a discounted multi-arm bandit selects the next task actively [7].",background,method
3c58cdc23f8b5ecdec7101e23e433cd4da538147>bd03de78962c493e84bfa7e15092422e020d2a82_3,"In contrast, @@CITATION@@ provides a dynamic assessment of the oral, pharyngeal, and upper esophageal phases, although radiation exposure and patient collaboration during the test may restrict its use.",method,method
6bd3adae63bec75551ef04b106f5cdfc4f7c9a97>31864e13a9b3473ebb07b4f991f0ae3363517244_1,"Moreover, the result obtained by using the HVD edge detector (Figures 5(b) to 13(b)) also exhibits a better visual quality than that of using the@@CITATION@@ operator (Figures 5(d) to 13(d)).",method,result
43763b0d91805b7beaedd79f44057b7b5ab8f0c9>d499c7c0d3b907c1bf7a6f61c239599c02d5a1df_5,"SICI with the threshold tracking method As reported by others (@@CITATION@@; Fisher et al. 2002), the results of SICI with threshold tracking showed two periods of maximal inhibition at ISIs 1 and 3 ms. Fisher et al. (2002) demonstrated peaks at 1 ms and between 2.2 and 2.8 ms while Roshan et…",background,method
c66c9827bd257b3e015caa0bf89220090cc5cf04>69737fca5af839045f9ddc1433d416c664dc5ce3_0,"In further contrast to the results of Brown et al. (2008, 2009), a recent magnetoencephalography study (@@CITATION@@) showed a more inferior central sulcus activation related to laryngeal (arytenoid) airpuff stimulation (visually similar to that evoked by tongue movement in Meier et al.‚Ä¶",background,result
cbc120b28ab6a3a3c428f6f17090c704098fdb15>79ea57dfce8776f1185dd4909a21f989e2fb776f_0,"As in Experiment 1, the warning manipulation was modeled after the instructions used by @@CITATION@@and McDermott and Roediger (1998).",method,method
109574e7479ab43910497db2c187a73417efaa84>09481a2856666307d26e82ce5938527d6dc3ce8e_0,This method makes an empirical adjustment to the variance/covariance matrix of the parameter estimate to account for the correlation among siblings @@CITATION@@.,background,method
e026d074a03f105060e0e75b035ddbb767a2d950>167f20b0705974bbb5a9a52946579c93ee0048c2_0,"These results agreed with other works (Eagen and Goldman 1996; Heredia-Diaz et al. 1996; Butrón et al. 2005;@@CITATION@@5), which found significant changes in marker frequencies due to directional selection.",result,result
cd17a81a73e378aebba686af1ca4ed8484aaa1e3>00299dc5c4ee1ec1048f206d356b0d2c9b44ce2c_0,"Another recent method uses paired-end sequencing reads to infer variation at STR loci, similar to previous methods to detect large insertions and deletions (Chen et al. 2009; @@CITATION@@; Qi and Zhao 2011; Grimm et al. 2013).",method,method
2c4d00825f72a0f3925a33a98945c9341c97f30b>bf3bd0f726a91c91b92a9cb51d6ba5d31ff34aa9_13,"Ten quality criteria were used to evaluate the selection, administration, interpretation, and reporting of pain scales meaning each study review resulted in a @@CITATION@@ Research and Management 5 score of between zero and ten.",method,method
73b9cde62df6c7a91f9be89727bf2da8d75d8d4d>768400632c298659210134bee8e459fa87ce6b65_0,"We used ProtTest (@@CITATION@@) to determine the best-fit model of substitution and maximum likelihood phylogenetic trees (Rep and CP) were inferred using PhyML version 3.0 (Guindon et al., 2010).",method,method
ba9cdfbb165c739d95dcb3d7cdc8e0b3114d0ea7>59066d7ae14da8bcc4cce53255444cc570bcdec1_0,"…hormone resulting in chronic hypothalamus-pituitary-adrenal axis hyperactivity, reduced magnitude and response habituation of the startle reflex was observed by @@CITATION@@, which is comparable to our findings (i.e. reduced area and habituation of BR) in patients with ECH (25).",result,result
315ad10e3dc28fd87c582694f1fd88fda147688e>faa0281fc701e562a67dfe23ebeecbb16b50a92a_0,We predict part-of-speech tags with the CRF tagger MARMOT @@CITATION@@ and annotate the training sets via 10-fold jackknifing.,method,method
3ccc823f2cad1803add40e81b36aadb04507d4f0>e262b804533bebb334d8abf47d9cfcf64b7065c3_0,"This is well supported by our MRR results revealing a step by step exchange of individuals between neighbouring sites as also shown for Thymelicus sylvestris, Aricia agestis and Melitaea aurelia in the same study area (@@CITATION@@; Habel and Schmitt 2009; Habel et al. 2009).",result,result
ce30b0a514e18b4963a4c3e2dfd068c2c579364b>cb29afc02c9b07cceee408b02375fc9c7710df4f_1,Patients who receive a positive DNA test result are more likely to have to deal with protective buffering from their partner @@CITATION@@ and are most often the primary supporter for their partner following the DNA test result [14].,background,result
a24ef2bffff5641b67e6e97c770f450d13e96984>8eb26014d3c8c0b0a591269e5bed1f2e732c48ce_0,"These results are qualitatively similar to the pattern observed for IL-4 (@@CITATION@@) and G-CSF (Zink et al., 1994), both of which provided evidence for increased motional flexibility in the loops relative to the amphipathic helices.",result,result
1f1e300cde777c301ef0123404e0330f2bbfb337>6d3bf11e5ac20b9628598ece7bafbf31ef594e35_2,"Notwithstanding these differences, some of the results achieved in information dissemination in @@CITATION@@s are worth to be considered and exported to the P2P world, 24 especially for what concerns the care about protocol overhead: even if wired P2P stations are presumably equipped with broadband connections, we believethat metadata dissemination should happen in “background” without interfering wth users’ normal activity, hence not taking a significant amount of bandwidth from the one dedicated to content distribution itself.",background,result
3a9b4b3d02c0191ad59909bc7e7349306bc04fc8>73800d442c7a043562a00550690f282ff6ff1fbd_0,"The resulting net increase in ATF4 and CHOP is significantly less than that observed with a bona fide ER stress inducer, such as TG (@@CITATION@@; Bobrovnikova-Marjon et al, 2010; Chitnis et al, 2012).",result,result
8b169bcab767dbf92655abf40488795404a27496>3e908bf166438dc966ac174d8f98827bfbea3358_0,"To collect background and preliminary data, which are presented in table @@CITATION@@ separate questionnaires of caring and personal information of mothers and children were used.",method,method
1c8e4475135e18f6077e72ac224d0380dfed2902>e411c0e096912230e9ee78e9595c492f70381e06_1,Analytical methods The reducing sugar concentration was determined according to the method described by @@CITATION@@.,method,method
061c3a1aaf6d77a95f7ce85ad5a08756515e5247>ac5add5363117d0cc68472fa4fb287613cdeedae_0,Estimates and 95% confidence bounds for Fst were computed in FSTAT (@@CITATION@@) using the approach of Weir and Cockerham (1984).,method,method
b7901a0bc0f196fc4654c60a6dc7e0967795ae2d>73830a7d2b480a8d67b580737e0d539ff9171a2a_0,"In the year 2010 the US Census Bureau replaced the long form with the American Community Survey, which uses different data collection methods and is substantially less accurate than the previous decennial censuses (@@CITATION@@).",method,method
d7ab6e63b6e2dd6e638fa912e165867ccb42b5af>574c8444770a748453a3950ba08ea3862782121d_0,"This result replicates ReuterLorenz, Jha, and Rosenquist (1996), Hunt and Kingstone (2003) and @@CITATION@@.",result,result
ed43642b7ada1805c2f2d18ca975e0bf1ae87173>6876dd54019d6b02465155ffc9627c3553ffbf02_0,"We have evaluated our approach on a collection of published benchmark models: the Polling System @@CITATION@@, Queuing System [13], and the Fault Tolerant Workstation Cluster [16].",method,method
464bd30d0c6d61e27d25c15c30243ee817a07c5f>657817fcf84a7c843837de98d5460aefc8c4f3df_0,"Permanent hearing loss has resulted from inner and/or outer hair cell loss and has been associated with excessive noise exposure (27), higher doses of ototoxic drugs @@CITATION@@, and concomitant exposures to both (28).",background,result
704f68f2dfcb472c5fbbf819d73a9c31a75061f9>8943cc1098451a7884fec8353ba26b16fc0d2909_0,We followed the detailed description of the procedure as published by other authors @@CITATION@@.,method,method
b928327d4be591d0414c16ae11a9a21079048fb1>e799e31e548875741f4307b0f577c70f0b784ff2_0,"‚Ä¶1989), and includes errors due to Brownian motion, errors in displacement measurement via cross-correlation, particle-to-particle differences in electrophoretic mobility, and possible velocity gradient error associated with the ¬±dzm/2 measurement depth (Meinhart et al. 20@@CITATION@@2000).",method,method
e61cfbcaf6673878a22b43d136cabed5c84e05f6>e82933657882670692c1cb2016789fad8f5f5f7c_0,"The results in the measure of superoxide dismutase are also contradictory, with an increase (Reddy et al., 1991; Zhang et al., 2003), decrease (Mukerjee et al., 1996; Ranjekar et al., 2003) or no change (@@CITATION@@) in enzyme activity in patients with schizophrenia.",background,result
