unique_id,citation_context,citation_class_label,predicted_classes
8e8e19bf6e9d7bcf921e91f369a140da2e86bfa3>None_0,"Therefore, we can compare our findings only with the data obtained by @@CITATION@@ who obtained them in a way similar to the present study.",result,method
ed097a708b9fea355ce7ff8249e9a120ba55795a>689826f096e33d8ad004ff7602c5ad414082f403_0,"Methods such as SBDS @@CITATION@@ avoid this problem but adding constraints to a model does not, so measuring the search effort to find a solution would not be a meaningful way of evaluating the new encoding.",method,method
e11f6bca24cde94fed473dc3bba93151f9c53d3e>914e874e2b86180987f362622373f10f0645c5de_0,"Atrial myocytes were isolated by enzymatic dissociation and mechanical disaggregation, as described in detail previously @@CITATION@@.",method,method
e5c60fb421a14d14f8b54def923ef8116b21e367>13d5774a6af3126dd533fd0db7dce5e309787bf1_0,"In cases where clinically genotyped HLA haplotyping calls were not available, we used in silico HLA typing by HLAminer (version 1) @@CITATION@@ or by Athlates [25].",method,method
c9a63a4272af92612219617b75bcf0c6ab2bfdd7>cb101cdbe7aac08d64577ea4ec526d1663a9899d_11,"In our previous study (@@CITATION@@), 2 mM trolox completely prevented both ROS generation and apoptosis induced by arachidonic acid in AS-30D hepatoma cells.",background,result
b973c738888166c52d32931362f8a50e7eae47b6>a06a5e49ecd12418dd5ac6330e32bfa851e0f2db_0,"These results contrast with previous studies, which have found superior learning from interleaved study (@@CITATION@@; Kornell & Bjork, 2008; Rohrer & Taylor, 2007; Taylor & Rohrer, 2010; Wahlheim et al., 2011).",result,result
bcf66cf95f1c833fe95fa8bc051be14cb2cb4886>757acefc55079579c6bb6d6b08365ccd6bdba323_0,"This method has also been successfully applied to the insect nervous system (e.g., Truman et al., 1996; @@CITATION@@).",background,method
6bd3adae63bec75551ef04b106f5cdfc4f7c9a97>31864e13a9b3473ebb07b4f991f0ae3363517244_1,"Moreover, the result obtained by using the HVD edge detector (Figures 5(b) to 13(b)) also exhibits a better visual quality than that of using the@@CITATION@@ operator (Figures 5(d) to 13(d)).",method,method
43763b0d91805b7beaedd79f44057b7b5ab8f0c9>d499c7c0d3b907c1bf7a6f61c239599c02d5a1df_5,"SICI with the threshold tracking method As reported by others (@@CITATION@@; Fisher et al. 2002), the results of SICI with threshold tracking showed two periods of maximal inhibition at ISIs 1 and 3 ms. Fisher et al. (2002) demonstrated peaks at 1 ms and between 2.2 and 2.8 ms while Roshan et…",background,method
9f138c81b7ff0425a903499a9aaea9eaf665e3a2>8829409630257aabc2c5dbb442b6b1af014b92bc_0,"…the possibility that the observed localization of the gelatinolytic activity results from differential absorbance of DQ gelatin to various structures in the section, we performed an experiment in which the coverslip had been pre-coated with DQ gelatin according to (@@CITATION@@).",method,method
c66c9827bd257b3e015caa0bf89220090cc5cf04>69737fca5af839045f9ddc1433d416c664dc5ce3_0,"In further contrast to the results of Brown et al. (2008, 2009), a recent magnetoencephalography study (@@CITATION@@) showed a more inferior central sulcus activation related to laryngeal (arytenoid) airpuff stimulation (visually similar to that evoked by tongue movement in Meier et al.‚Ä¶",background,result
556c32a87f17435651a3f3d126bd25450338629f>9d2ea884a8103ad756e9a743fab9cf2f95f054da_0,"P values were corrected for multiple testing using Benjamini-Hochberg’s method (false discovery rate) (Benjamini and Hochberg, 1995;@@CITATION@@3).",method,method
a62aad70a520366403fe6978ad390e909dc60836>4b5e6f9b7add76127171575a01cef9dd821dfcc0_0,"…such as nicotine gum and nicotine patch, the use of products to reduce rather than cease smoking, and initiation of medication use before smoking Neuropsychopharmacology cessation to facilitate cessation) (@@CITATION@@; Fiore et al, 2008; Fucito et al, 2014; Kozlowski et al, 2007).",background,method
109574e7479ab43910497db2c187a73417efaa84>09481a2856666307d26e82ce5938527d6dc3ce8e_0,This method makes an empirical adjustment to the variance/covariance matrix of the parameter estimate to account for the correlation among siblings @@CITATION@@.,background,method
4c7815d8497df60434fceb96a64efb2e55f1aedd>f40ca733094fedb1ff89f87e77ebe136e01f8a9a_0,This result contrasts with the findings from a recent qualitative study showing a higher level of strains reported by caregivers @@CITATION@@.,result,result
2aa09a39a333f7f0fd0c141b2805f574a83b532e>9a6e4cfedde7ad5f810d857afeb45cc4ec3ccc1b_1,"…interpretation of the results obtained in the present work is that the nuclear gene activity plays an important role in the phenotypic manifestation of the MERRF mutation (@@CITATION@@), as has been shown for other disease-causing mtDNA mutations (Harding et al., 1995; Guan et al., 1996).",result,result
e026d074a03f105060e0e75b035ddbb767a2d950>167f20b0705974bbb5a9a52946579c93ee0048c2_0,"These results agreed with other works (Eagen and Goldman 1996; Heredia-Diaz et al. 1996; Butrón et al. 2005;@@CITATION@@5), which found significant changes in marker frequencies due to directional selection.",result,result
cd17a81a73e378aebba686af1ca4ed8484aaa1e3>00299dc5c4ee1ec1048f206d356b0d2c9b44ce2c_0,"Another recent method uses paired-end sequencing reads to infer variation at STR loci, similar to previous methods to detect large insertions and deletions (Chen et al. 2009; @@CITATION@@; Qi and Zhao 2011; Grimm et al. 2013).",method,method
2a29802ff7443f41d9e5185e7ba58baae8c00ce5>6fb4f9761fdfdeef856fde906fc85c9d5fd16118_0,"The results of the present study diverge from the findings of other authors reporting a decrease in UCP1 expression levels with animal growth (Restelli et al., 2015) but agree with the study of @@CITATION@@ that described UCP1 expression in lambs from 2 up to 12 months age.",result,result
